0 27 54
0 48 43
0 48 53
0 48 33
0 48 34
1 27 15
1 47 4
1 47 32
1 47 40
1 47 81
1 47 96
1 47 12
1 47 54
1 47 97
1 47 45
1 47 58
1 47 76
1 48 0
1 48 3
1 48 43
1 48 51
1 48 53
1 48 19
1 48 23
1 48 33
1 48 34
1 48 44
1 48 89
1 48 36
1 78 94
1 78 99
2 27 9
2 27 27
2 32 1
2 32 10
2 32 22
2 32 0
2 32 14
2 32 20
2 32 21
2 32 62
2 32 72
2 32 16
2 32 23
2 32 28
2 32 34
2 32 53
2 32 54
2 32 33
2 32 44
2 32 58
2 32 63
2 32 45
2 47 97
2 47 26
2 47 89
2 47 38
2 47 68
2 48 48
2 73 80
2 73 91
2 73 64
2 73 81
2 73 83
2 73 88
2 73 90
2 73 40
2 73 42
2 73 43
2 73 74
2 73 82
2 73 86
2 73 93
2 73 96
2 73 2
2 73 29
2 73 56
2 73 65
2 73 67
2 78 78
3 27 9
3 27 6
3 32 1
3 32 11
3 32 22
3 32 30
3 32 14
3 32 20
3 32 21
3 32 31
3 32 41
3 32 50
3 32 52
3 32 60
3 32 61
3 32 62
3 32 70
3 32 72
3 32 13
3 32 32
3 32 40
3 32 42
3 32 43
3 32 82
3 47 4
3 47 8
3 47 18
3 47 74
3 47 77
3 47 2
3 47 5
3 47 16
3 47 23
3 47 28
3 47 53
3 47 54
3 47 86
3 47 89
3 48 48
3 73 91
3 73 92
3 73 81
3 73 84
3 73 29
3 73 33
3 73 44
3 73 75
3 78 99
3 78 79
3 78 36
3 78 37
3 78 47
3 78 49
3 78 58
3 78 68
3 78 76
3 78 78
3 78 87
3 78 93
3 78 95
3 78 45
3 78 56
3 78 67
4 27 9
4 27 6
4 27 8
4 27 18
4 27 19
4 27 26
4 27 39
4 27 79
4 27 16
4 27 23
4 27 25
4 27 28
4 27 34
4 27 35
4 27 38
4 27 63
4 27 45
4 27 56
4 27 57
4 27 65
4 27 66
4 27 68
4 27 69
4 27 76
4 32 1
4 32 22
4 32 15
4 32 20
4 32 21
4 32 31
4 32 50
4 32 52
4 32 60
4 32 61
4 32 71
4 32 90
4 32 7
4 32 12
4 32 32
4 32 40
4 32 42
4 32 82
4 32 84
4 32 96
4 32 2
4 47 4
4 47 53
4 47 55
4 47 87
4 47 47
4 48 48
4 73 91
4 73 92
4 73 83
4 73 88
4 73 94
4 73 43
4 73 74
4 73 86
4 73 93
4 73 95
4 73 51
4 73 54
4 73 85
4 73 29
