0:	0- 124762462043.34477
	1- 39767.93806775036
	2- 18900.397871379835
	3- 977.7459492472121
	4- 322.174202676608
	5- 231.69804791732767
	6- 138.0087454397086
	7- 26.098600056587465
	8- 259.7955898880368
	9- 34.04427884481085
	10- 4791.756808238673
	11- 49852.331139120426
	12- 2601.96357009652
	13- 294.3105985156573
	14- 56.55513621436721
	15- 92.80933873398098
	16- 28.234842394322783
	17- 9.77093580964772
	18- 111.37023453038533
	19- 43.496414399574014
	20- 44652.54223117818
	21- 9889.723004151745
	22- 48.84867402616469
	23- 4924.369605238489
	24- 387.10057753016247
	25- 444.9256218372358
	26- 10.863020207551628
	27- 42.56657405090361
	28- 1.0060062292609573
	29- 7.906189745243758
	30- 1615.7116053029083
	31- 497.93310183758206
	32- 60.7605060566578
	33- 48.35322823271033
	34- 82.44530014344527
	35- 100.68334834929374
	36- 159.84112613863715
	37- 1.9163796772001387
	38- 17.34614657657772
	39- 24.229923034906818
	40- 601.2576473833383
	41- 75.22508450829636
	42- 59.056462422005865
	43- 567.2758515940931
	44- 25.508510667832653
	45- 24.8144993779757
	46- 50.723965122846806
	47- 17.21242374218417
	48- 25.03569658281814
	49- 0.2828112616249579
	50- 45.03484094609092
	51- 94.6629539794888
	52- 187.62104730948496
	53- 92.84357132450424
	54- 4.660210668207307
	55- 7.131910885190847
	56- 646.6810058041085
	57- 77.93227284479457
	58- 2.2257235328173923
	59- 5.591787073079771
	60- 61.76589661755032
	61- 267.6477183317955
	62- 17.581630092420077
	63- 122.12798241735479
	64- 137.94885899237696
	65- 2.76714072072598
	66- 5.59217294710355
	67- 6.924446699529592
	68- 6.665590605526365
	69- 3.5960936066990485
	70- 140.6530135525858
	71- 53.543237477403785
	72- 3.6649249853761208
	73- 2.7276943882511158
	74- 1.2820070803240264
	75- 3.3379229031086863
	76- 42.947798119126084
	77- 9.211707722576216
	78- 8.289890271290734
	79- 6.269840162226417
	80- 9.071698545524224
	81- 7.512566333906045
	82- 34.71586264101742
	83- 52.65934650449127
	84- 10.640242184245713
	85- 3.8868517398608726
	86- 27.82202093811105
	87- 16.175083129346774
	88- 16.517670967697743
	89- 5.858214276567236
	90- 1.0011581146181332
	91- 74.98575172541806
	92- 31.461272222610123
	93- 31.503138261244036
	94- 3.5322343066941437
	95- 11.102525447753026
	96- 4.100060793491543
	97- 14.229871933270182
	98- 14.66680455571773
	99- 2.889255412832209e-84
1:	0- 213563.6180827876
	1- 2942369286.682909
	2- 34276.916644576086
	3- 575.9050876508015
	4- 561.3654175673752
	5- 855.6718970746689
	6- 12.288391138850933
	7- 72.04589980389376
	8- 44.87166716251195
	9- 5.081952903833874
	10- 8009.610225968511
	11- 1531310.5236127817
	12- 3271.980072497111
	13- 6953.135983892543
	14- 268.57876454827147
	15- 5301.219271909504
	16- 332.34135501126383
	17- 20.934700655306486
	18- 15.536116315534915
	19- 1.7054189438884073
	20- 19243.9609876258
	21- 870.5743716505723
	22- 4080.396641620209
	23- 2243.657904661484
	24- 67.53641813820674
	25- 287.25607915506936
	26- 229.20622343773914
	27- 0.6504578916187665
	28- 11.521144213489803
	29- 155.65877401666967
	30- 2331.0637634773248
	31- 151.89262024906355
	32- 164.16827980670098
	33- 520.8465120567071
	34- 123.47901248976831
	35- 174.0285979654196
	36- 17.149901030852387
	37- 14.615634299102751
	38- 26.79061417824313
	39- 0.4677492667491578
	40- 185.8817902042653
	41- 426.96677673984624
	42- 642.8819016089135
	43- 1047.6214391639323
	44- 38.0042519377144
	45- 5818.508856300206
	46- 83.34262151552713
	47- 342.4357973471099
	48- 45.14580614125135
	49- 5.724317913250952
	50- 708.1135687423
	51- 55.95089587348354
	52- 870.2262307597724
	53- 287.34732552239245
	54- 437.8341765628637
	55- 11.998057557936724
	56- 25.356465053020077
	57- 1.704955378037454
	58- 102.23470982816616
	59- 11.442564531612383
	60- 77.77435366632747
	61- 497.74816566399056
	62- 25.267039707439555
	63- 10.77305510862442
	64- 77.96850905977554
	65- 18.22425549038484
	66- 18.574898960385678
	67- 12.592912951263342
	68- 4.098852334610951
	69- 3.425076850915568
	70- 10.15361391558748
	71- 158.62286580888764
	72- 33.5604304051816
	73- 30.320900772251434
	74- 1.4544473354071203
	75- 21.31770473107357
	76- 161.28701976103838
	77- 18.83102794390057
	78- 40.91800059692238
	79- 5.2720525620838
	80- 9.480654937081471
	81- 123.87666426494188
	82- 215.54688094981947
	83- 45.72373178543427
	84- 23.285603625855252
	85- 5.963227635771658
	86- 3.0847308901863326
	87- 7.276881028820603
	88- 3.358221811763976
	89- 2.83039488863388
	90- 49.33157890103545
	91- 67.09349641907338
	92- 9.615868362710971
	93- 65.94239834490105
	94- 42.83564103511095
	95- 25.525627640860794
	96- 1.9471879277112332
	97- 5.413504617732526
	98- 1.5884448518122956
	99- 2.973727160577984
2:	0- 76845.98182773305
	1- 157863.8968166433
	2- 58845466080.857895
	3- 104536.26289637045
	4- 202.24648629665293
	5- 352.3656160333271
	6- 84.80190116167061
	7- 111.95354435537863
	8- 13.353627644786867
	9- 6.144897149570849
	10- 4768.25729613065
	11- 5778.182840252974
	12- 22825.60527877004
	13- 2144.1769056327917
	14- 12159.568943272503
	15- 177.39325668179046
	16- 95.92129232116174
	17- 281.9628700290747
	18- 25.260737388913626
	19- 10.898050853006817
	20- 257.79484109285636
	21- 1247.4046121377032
	22- 255.23370476602042
	23- 2789.9359102051676
	24- 1217.4369226193683
	25- 508.47244039773614
	26- 117.52994845752546
	27- 101.56378680603655
	28- 22.070793167108356
	29- 41.7895428229641
	30- 536.7923847209216
	31- 68.51534995577592
	32- 334.72235359971745
	33- 532.0382789237402
	34- 1205.7297917382932
	35- 1419.9433942117028
	36- 732.0479386040474
	37- 1023.9728522038301
	38- 2.092457298757101
	39- 19.010666930071046
	40- 107.71478215591748
	41- 163.56975841219267
	42- 80.06372841686198
	43- 574.0406668701339
	44- 145.5020208304887
	45- 56.55655073519871
	46- 16.008881684457993
	47- 124.17584776257202
	48- 16.2566478267607
	49- 9.723576053446697
	50- 101.98051034013791
	51- 45.21329251824172
	52- 424.17619812645205
	53- 140.5481215194871
	54- 104.79011330282476
	55- 39.765291148641765
	56- 373.69666677557086
	57- 132.3483266989398
	58- 191.6122797367941
	59- 2.402201499188965
	60- 51.73021694341999
	61- 60.1383604679928
	62- 48.19487248610742
	63- 10.92560774713298
	64- 73.43795724781194
	65- 26.507516563061984
	66- 169.5119944137808
	67- 51.01655466257013
	68- 69.3678704451099
	69- 47.47196332543305
	70- 8.740561351726672
	71- 351.60927455458886
	72- 56.66098088300713
	73- 21.849063245793978
	74- 17.558220135487733
	75- 1.3973353838990363
	76- 44.38778106572103
	77- 2.494225586618391
	78- 0.9597478304193904
	79- 10.431642430040565
	80- 9.332362190651452
	81- 18.157527020325624
	82- 5.08520209601048
	83- 71.78265221988798
	84- 31.92351680930154
	85- 12.10795587392569
	86- 57.00973219384632
	87- 17.237949107895005
	88- 1.9240139398123655
	89- 5.750460906951782
	90- 27.521309342105717
	91- 9.245587352837035
	92- 10.80833251923516
	93- 80.56992724665892
	94- 1.2163653017458722
	95- 74.7477237153954
	96- 9.54296472124936
	97- 6.120649095962282
	98- 15.675729516343525
	99- 55.1656681462463
3:	0- 869.0013129561742
	1- 1295.1499592747264
	2- 52231.692171355986
	3- 1019945412534.1846
	4- 27135.357078515684
	5- 7395.082035492102
	6- 599.6273564386635
	7- 190.55902059305913
	8- 953.627769121971
	9- 105.37689098707378
	10- 2043.127139495448
	11- 852.4080119865523
	12- 24120.326706553147
	13- 9904.594543167237
	14- 15546.982212121913
	15- 2369.6242018992502
	16- 186.10336636111032
	17- 226.56722418643744
	18- 2088.9894556524214
	19- 76.5956033728797
	20- 40259.456341302845
	21- 3172.6614607033152
	22- 2115.6355830985985
	23- 288.01874902192304
	24- 4195.926315897724
	25- 2434.7321034831207
	26- 229.3861251526982
	27- 1923.3720037554936
	28- 82.29430645332158
	29- 3.215088384252998
	30- 933.754312182078
	31- 564.5999100697243
